"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV03","WV20"
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-01","   10","   30",,," 0854","0.00","   97","0.0","0.0",,"30","17","  552",,,,"  315","  315",,,,,"19.5","12.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-02","   30","   10",,," 2236","0.00","   79","0.0","0.0",,"42","16","  450",,,,"  135","  135",,,,,"19.5","12.1",,,,,,,,,,,,,,,"    1",,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-03","  100","  100",,," 1730","0.88","   27","5.0","0.0",,"35","16","  156",,,,"  315","  315",,,,,"32.2","23.0","    1",,,"    1",,"    1",,,,,,,,,"    1",,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-04","   90","  100",,," 0318","0.01","   67","0.0","5.0",,"16","3","  378",,,,"  315","  315","0.4",,,,"24.2","15.0",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-05","   80","  100",,," 1454","0.00","   63","0.0","3.0",,"10","4","  360",,,,"  360","   45","0.3",,,,"15.0","8.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-06","   80","   90",,," 2300","0.00","   84","0.0","3.0",,"9","0","  480",,,,"   45","   45","0.3",,,,"21.9","17.0",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-07","  100","  100",,," 0336","0.08","   71","2.0","3.0",,"12","7","  408",,,,"   45","   45","0.3",,,,"20.8","17.0",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-08","   90","   90",,," 2318","0.01","   80","0.2","5.0",,"14","6","  462",,,,"  360","  360","0.4",,,,"21.9","16.1",,,,,,,,"    1",,,,,,,,,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-09","   20","    0",,," 0042","0.00","  100","0.0","5.0",,"6","-8","  576",,,,"  360","  360","0.4",,,,"20.8","16.1",,,,,,,,,,,,,,,,,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-10","   40","   50",,," 2018","0.00","   89","0.0","4.0",,"14","-4","  516",,,,"  225","  225","0.6",,,,"16.1","10.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-11","   10","    0",,," 1100","0.00","  100","0.0","4.0",,"16","2","  582",,,,"  315","  315","0.5",,,,"13.9","8.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-12","   40","   80",,," 1954","0.00","   99","0.0","4.0",,"22","0","  576",,,,"  225","  180","0.5",,,,"33.3","25.9",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-13","   20","   50",,," 1006","0.00","   93","0.0","4.0",,"33","20","  540",,,,"  225","  225","0.5",,,,"28.9","27.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-14","   40","   70",,," 2054","0.00","   65","0.0","4.0",,"47","23","  378",,,,"  315","  315","0.4",,,,"18.3","10.1",,,,,,,,"    1",,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-15","   20","   40",,," 2130","0.00","   78","0.0","2.0",,"45","30","  456",,,,"  180","  180",,,,,"15.0","10.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-16","   60","   60",,," 2006","0.00","   75","0.0","1.0",,"56","37","  438",,,,"  225","  225",,,,,"38.0","31.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-17","   90","  100",,," 1548","0.00","    4","0.0","0.0",,"61","52","   24",,,,"  225","  225",,,,,"41.4","29.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-18","   80","   90",,," 1606","0.00","   13","0.0","0.0",,"60","38","   78",,,,"  315","  315",,,,,"33.3","17.9",,,,,,,,"    1",,,,,,,"    1",,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-19","   50","   40",,," 1536","0.00","   68","0.0","0.0",,"50","31","  402",,,,"   90","   90",,,,,"23.0","14.1",,,,,,,,,,,,,,,,,,,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-20","   90","   90",,," 2348","0.47","   73","0.0","0.0",,"48","34","  432",,,,"   90","   90",,,,,"39.1","29.1","    1",,,,,,,"    1",,,,,,,"    1",,"    1",,,,,
"USW00003947","KANSAS CITY INTERNATIONAL AIRPORT, MO US","1973-01-21","  100","  100",,," 0030","0.18","    0","2.0","0.0",,"35","30","    0",,,,"   90","   90",,,,,"39.1","29.1","    1",,,"    1",,,,"    1",,,,,,,"    1",,"    1",,,,,
