,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,avg_wind_speed_kmh,avg_sea_level_pres_hpa
1158,1973-01-02,Winter,-2.5,-7.2,3.3,0.0,12.6,1028.7
1160,1973-01-04,Winter,-7.9,-11.1,-2.8,0.0,22.2,1025.5
1161,1973-01-05,Winter,-10.9,-11.1,-10.0,0.0,14.6,1028.8
1163,1973-01-07,Winter,-7.4,-9.4,-5.0,4.1,18.6,1031.9
1165,1973-01-09,Winter,-14.8,-19.4,-10.0,0.0,16.2,1036.6
1168,1973-01-12,Winter,-9.2,-17.8,-2.2,0.0,12.1,1028.0
1169,1973-01-13,Winter,-1.8,-7.8,3.9,0.0,19.2,1021.6
1170,1973-01-14,Winter,2.0,-2.8,8.3,0.0,19.2,1018.5
1171,1973-01-15,Winter,3.4,-0.6,7.2,0.0,13.4,1024.1
1172,1973-01-16,Winter,7.8,2.2,16.1,0.0,21.2,1019.5
1173,1973-01-17,Winter,11.7,7.8,15.6,0.0,23.5,1013.0
1175,1973-01-19,Winter,3.2,1.1,7.2,0.0,15.6,1014.3
1178,1973-01-22,Winter,1.2,0.0,4.4,0.3,27.3,999.4
1180,1973-01-24,Winter,4.4,-0.6,11.7,0.0,14.8,1019.7
1181,1973-01-25,Winter,6.7,0.6,15.0,0.0,9.4,1021.4
1185,1973-01-29,Winter,-9.4,-12.8,-5.0,0.0,10.1,1027.3
1186,1973-01-30,Winter,-2.5,-10.0,5.0,0.0,17.2,1014.8
1187,1973-01-31,Winter,5.9,1.1,10.6,0.0,21.5,1008.3
1191,1973-02-04,Winter,7.9,1.7,16.1,0.0,14.6,1013.7
1192,1973-02-05,Winter,1.6,0.0,5.6,0.0,12.5,1018.4
1193,1973-02-06,Winter,1.8,1.1,2.8,0.0,12.9,1026.7
1197,1973-02-10,Winter,-3.6,-9.4,1.7,0.0,11.9,1027.5
1198,1973-02-11,Winter,-2.1,-6.7,3.3,0.0,21.4,1023.4
1203,1973-02-16,Winter,-9.6,-12.8,-6.7,0.0,18.6,1035.5
1204,1973-02-17,Winter,-7.3,-12.2,-2.8,0.0,15.7,1030.8
1205,1973-02-18,Winter,-0.5,-2.8,3.9,0.5,13.3,1023.4
1206,1973-02-19,Winter,1.1,-2.8,5.6,1.5,14.2,1023.0
1207,1973-02-20,Winter,2.1,-1.7,7.2,0.0,17.0,1027.3
1209,1973-02-22,Winter,2.4,-4.4,11.1,0.0,17.7,1019.0
1210,1973-02-23,Winter,5.0,-2.2,12.8,0.0,11.3,1017.3
1213,1973-02-26,Winter,0.0,-1.1,2.2,0.0,15.4,1028.9
1214,1973-02-27,Winter,-0.4,-1.1,1.1,0.0,7.3,1028.7
1218,1973-03-03,Spring,9.4,7.8,12.2,0.0,10.8,1019.2
1219,1973-03-04,Spring,9.1,7.8,10.0,13.0,16.8,1014.0
1220,1973-03-05,Spring,8.7,7.2,11.7,0.3,10.9,1013.3
1222,1973-03-07,Spring,11.6,6.7,16.7,0.5,15.5,1014.0
1224,1973-03-09,Spring,7.6,5.6,10.0,1.3,17.6,1017.4
1225,1973-03-10,Spring,12.2,7.8,17.2,45.5,20.3,1005.9
1228,1973-03-13,Spring,14.2,9.4,19.4,26.9,21.7,1007.6
1231,1973-03-16,Spring,4.5,2.2,6.7,0.0,26.8,1013.3
1232,1973-03-17,Spring,2.5,-0.6,6.7,0.0,25.0,1015.4
1236,1973-03-21,Spring,4.2,-1.7,10.6,0.0,11.5,1021.3
1237,1973-03-22,Spring,6.7,1.1,13.3,0.0,17.9,1021.4
1238,1973-03-23,Spring,9.3,6.7,12.2,0.0,21.4,1020.3
1241,1973-03-26,Spring,7.8,4.4,12.8,0.0,18.3,1007.2
1242,1973-03-27,Spring,10.5,5.6,15.6,0.0,11.7,1012.9
1244,1973-03-29,Spring,10.0,6.1,11.1,4.8,10.5,1012.5
1245,1973-03-30,Spring,10.9,4.4,16.7,2.0,16.6,1015.2
1247,1973-04-01,Spring,7.4,6.7,8.9,0.0,21.1,1001.7
1249,1973-04-03,Spring,5.7,4.4,6.7,0.0,14.5,1009.7
1251,1973-04-05,Spring,8.6,3.9,15.0,0.0,15.9,1017.3
1252,1973-04-06,Spring,12.6,6.1,19.4,0.0,21.2,1012.4
1253,1973-04-07,Spring,10.0,7.2,13.3,0.0,11.4,1007.4
1254,1973-04-08,Spring,6.8,3.9,10.6,16.8,16.4,1009.1
1257,1973-04-11,Spring,6.3,-3.3,15.0,0.0,19.6,1018.8
1258,1973-04-12,Spring,6.9,1.7,11.7,0.0,17.5,1020.2
1259,1973-04-13,Spring,6.5,-1.1,13.9,0.0,12.4,1026.4
1260,1973-04-14,Spring,7.8,3.3,11.7,25.1,20.8,1022.2
1265,1973-04-19,Spring,16.3,13.3,20.0,4.6,23.1,1006.0
1266,1973-04-20,Spring,19.8,16.1,23.3,0.3,31.7,1008.8
1267,1973-04-21,Spring,21.3,16.7,25.0,14.2,26.1,1012.3
1269,1973-04-23,Spring,16.8,11.1,22.2,0.0,9.1,1012.1
1271,1973-04-25,Spring,14.4,12.2,17.8,0.8,17.1,1009.7
1273,1973-04-27,Spring,10.0,5.6,13.9,0.0,17.2,1016.0
1274,1973-04-28,Spring,11.7,3.3,18.9,0.0,11.7,1015.3
1279,1973-05-03,Spring,11.6,5.0,18.3,0.0,16.8,1022.7
1280,1973-05-04,Spring,14.7,8.3,20.6,0.0,7.6,1022.1
1281,1973-05-05,Spring,16.8,10.0,23.9,0.0,16.3,1016.4
1282,1973-05-06,Spring,14.8,11.7,18.3,19.1,21.5,1009.4
1284,1973-05-08,Spring,15.4,11.7,21.7,0.0,17.8,1007.4
1285,1973-05-09,Spring,17.5,11.1,23.3,0.3,15.5,1010.8
1286,1973-05-10,Spring,18.0,12.8,23.3,0.0,10.7,1010.4
1288,1973-05-12,Spring,13.2,8.9,17.2,0.0,17.3,1020.3
1289,1973-05-13,Spring,11.9,5.6,17.8,0.0,13.6,1023.6
1291,1973-05-15,Spring,12.0,4.4,19.4,0.0,11.8,1024.4
1292,1973-05-16,Spring,14.2,7.2,20.6,0.0,19.9,1014.5
1293,1973-05-17,Spring,12.7,4.4,20.0,0.0,11.9,1016.2
1294,1973-05-18,Spring,16.3,6.7,25.6,0.0,13.0,1008.9
1298,1973-05-22,Spring,19.3,16.7,25.0,4.3,11.6,1007.5
1300,1973-05-24,Spring,17.6,10.0,25.6,1.5,14.2,1004.9
1301,1973-05-25,Spring,17.5,11.1,22.8,0.0,12.8,1005.3
1305,1973-05-29,Spring,15.9,11.1,20.6,1.5,13.6,1011.5
1307,1973-05-31,Spring,17.8,11.7,25.0,0.0,8.6,1017.0
1336,1973-06-29,Summer,22.9,17.8,28.3,0.0,9.9,1008.9
1339,1973-07-02,Summer,26.9,20.6,32.8,0.0,13.9,1015.6
1340,1973-07-03,Summer,28.2,23.3,33.9,0.0,11.6,1017.8
1342,1973-07-05,Summer,25.4,20.6,30.6,0.0,7.9,1014.2
1343,1973-07-06,Summer,25.7,18.3,32.8,0.0,10.8,1013.9
1344,1973-07-07,Summer,26.0,19.4,32.8,0.0,15.8,1014.4
1345,1973-07-08,Summer,26.4,20.0,33.9,0.0,11.2,1017.0
1347,1973-07-10,Summer,26.3,21.1,31.1,0.0,14.0,1015.3
1348,1973-07-11,Summer,25.1,18.9,31.7,0.0,11.7,1017.5
1350,1973-07-13,Summer,26.9,19.4,33.9,0.0,12.9,1013.7
1351,1973-07-14,Summer,22.8,18.9,29.4,0.3,15.1,1013.3
1352,1973-07-15,Summer,22.1,15.6,30.0,0.0,11.2,1015.8
1353,1973-07-16,Summer,22.8,17.8,29.4,0.0,11.5,1016.6
1354,1973-07-17,Summer,23.9,17.8,30.6,0.0,10.5,1018.5
1355,1973-07-18,Summer,24.5,20.0,33.3,11.4,9.6,1018.1
1359,1973-07-22,Summer,23.9,20.6,28.3,6.4,8.9,1014.3
1360,1973-07-23,Summer,23.2,20.6,30.6,5.1,13.6,1018.3
1361,1973-07-24,Summer,23.2,20.0,31.1,7.1,11.0,1019.2
1364,1973-07-27,Summer,24.5,17.2,31.1,0.0,13.8,1013.3
1365,1973-07-28,Summer,25.4,20.0,31.1,0.5,7.8,1015.5
1366,1973-07-29,Summer,24.9,19.4,31.7,15.2,10.9,1015.5
1367,1973-07-30,Summer,23.5,20.0,31.1,0.8,8.5,1013.2
1369,1973-08-01,Summer,19.0,13.9,24.4,0.0,13.0,1017.2
1370,1973-08-02,Summer,19.5,13.9,25.6,0.0,10.0,1017.9
1371,1973-08-03,Summer,20.9,14.4,27.2,0.0,7.8,1019.6
1372,1973-08-04,Summer,23.0,16.7,28.9,0.0,9.3,1021.0
1373,1973-08-05,Summer,23.2,17.8,28.9,0.0,11.2,1018.8
1374,1973-08-06,Summer,21.8,16.1,28.3,0.0,14.1,1014.5
1376,1973-08-08,Summer,27.0,21.7,33.3,0.0,16.8,1013.4
1379,1973-08-11,Summer,24.9,18.3,31.7,0.0,9.9,1013.3
1380,1973-08-12,Summer,25.5,21.7,31.7,0.0,9.8,1016.0
1384,1973-08-16,Summer,22.7,18.3,27.8,0.0,8.3,1016.0
1385,1973-08-17,Summer,24.0,17.8,31.1,0.0,3.7,1017.9
1387,1973-08-19,Summer,26.0,18.9,34.4,0.0,8.0,1018.5
1388,1973-08-20,Summer,25.9,18.3,31.1,0.0,8.5,1020.2
1391,1973-08-23,Summer,25.0,20.0,33.9,0.0,12.5,1013.0
1392,1973-08-24,Summer,24.9,20.0,30.6,0.0,7.1,1013.9
1393,1973-08-25,Summer,27.8,21.1,36.7,0.0,10.7,1014.2
1396,1973-08-28,Summer,26.7,20.6,33.3,0.0,9.8,1019.1
1398,1973-08-30,Summer,24.0,18.9,32.8,3.0,9.3,1016.6
1399,1973-08-31,Summer,25.9,20.6,33.3,0.0,12.2,1015.4
1400,1973-09-01,Autumn,26.0,21.1,33.3,1.5,13.6,1016.1
1402,1973-09-03,Autumn,22.9,21.1,27.8,24.9,10.4,1016.1
1403,1973-09-04,Autumn,22.0,20.0,25.0,6.4,7.3,1016.3
1405,1973-09-06,Autumn,20.8,15.6,26.7,0.0,7.7,1018.9
1406,1973-09-07,Autumn,18.6,14.4,23.9,1.3,9.8,1018.1
1407,1973-09-08,Autumn,22.8,19.4,30.6,41.1,8.5,1015.6
1408,1973-09-09,Autumn,22.4,20.0,27.8,0.0,7.2,1017.1
1409,1973-09-10,Autumn,21.6,19.4,25.6,0.0,6.1,1018.0
1410,1973-09-11,Autumn,20.2,13.9,25.6,0.0,7.5,1014.8
1411,1973-09-12,Autumn,17.7,11.1,23.9,0.0,9.9,1013.6
1412,1973-09-13,Autumn,18.9,16.7,23.9,2.5,9.5,1011.3
1415,1973-09-16,Autumn,16.8,13.3,21.7,0.5,8.3,1018.7
1421,1973-09-22,Autumn,23.0,18.9,26.7,0.0,9.5,1017.3
1422,1973-09-23,Autumn,21.4,17.8,27.2,8.9,8.6,1018.0
1424,1973-09-25,Autumn,23.3,20.6,27.8,0.8,13.8,1012.4
1427,1973-09-28,Autumn,20.6,16.7,25.6,24.4,9.6,1015.7
1431,1973-10-02,Autumn,17.6,10.6,25.0,0.0,6.7,1016.9
1432,1973-10-03,Autumn,22.3,17.8,28.9,37.8,13.5,1013.6
1434,1973-10-05,Autumn,12.4,6.1,19.4,0.0,6.9,1026.3
1435,1973-10-06,Autumn,13.6,10.0,18.3,5.1,8.6,1020.2
1436,1973-10-07,Autumn,21.2,17.8,27.2,0.0,10.6,1015.1
1437,1973-10-08,Autumn,22.7,17.8,28.9,0.0,11.8,1014.2
1438,1973-10-09,Autumn,22.8,18.3,28.3,0.0,13.0,1013.8
1440,1973-10-11,Autumn,20.5,17.8,25.6,3.3,15.7,1011.4
1442,1973-10-13,Autumn,17.5,12.8,22.8,1.3,9.6,1016.9
1448,1973-10-19,Autumn,16.5,8.9,25.0,0.0,11.7,1019.5
1449,1973-10-20,Autumn,14.2,7.8,21.1,0.0,6.1,1021.3
1450,1973-10-21,Autumn,15.0,8.3,23.9,0.0,10.7,1021.0
1451,1973-10-22,Autumn,15.9,10.0,25.0,0.0,9.4,1020.6
1452,1973-10-23,Autumn,17.1,10.6,25.6,0.0,9.1,1016.5
1453,1973-10-24,Autumn,18.0,11.1,27.2,0.0,14.8,1011.2
1455,1973-10-26,Autumn,12.8,6.7,18.3,8.1,5.4,1017.3
1457,1973-10-28,Autumn,5.5,3.9,7.8,2.8,14.4,1018.8
1458,1973-10-29,Autumn,5.8,2.8,7.2,0.0,10.6,1017.9
1460,1973-10-31,Autumn,10.4,6.1,15.6,12.2,13.4,1002.3
1462,1973-11-02,Autumn,7.4,2.2,11.7,0.0,13.2,1013.4
1463,1973-11-03,Autumn,5.5,0.6,11.1,0.0,10.1,1025.0
1464,1973-11-04,Autumn,5.0,0.6,7.2,0.0,15.0,1023.6
1465,1973-11-05,Autumn,0.5,-3.9,5.6,0.0,8.7,1030.0
1466,1973-11-06,Autumn,0.6,-3.9,4.4,0.0,9.7,1028.2
1467,1973-11-07,Autumn,6.7,3.3,10.6,0.0,6.2,1021.7
1468,1973-11-08,Autumn,4.9,1.1,7.8,0.0,12.0,1023.1
1471,1973-11-11,Autumn,5.2,-0.6,10.6,0.0,11.3,1027.2
1472,1973-11-12,Autumn,11.8,5.0,19.4,0.0,15.4,1019.4
1474,1973-11-14,Autumn,18.9,13.9,24.4,0.0,17.5,1007.4
1475,1973-11-15,Autumn,10.9,5.6,19.4,10.4,18.6,1011.2
1476,1973-11-16,Autumn,6.7,1.1,12.2,0.0,7.8,1021.6
1477,1973-11-17,Autumn,9.6,3.3,16.1,0.0,17.3,1017.2
1478,1973-11-18,Autumn,10.0,2.2,17.2,0.0,11.4,1013.3
1479,1973-11-19,Autumn,8.6,2.8,12.8,0.0,16.0,1014.6
1482,1973-11-22,Autumn,11.9,5.6,20.0,0.0,14.1,1015.4
1483,1973-11-23,Autumn,10.7,5.0,16.1,0.0,13.2,1017.1
1485,1973-11-25,Autumn,6.1,1.7,10.0,2.8,8.5,1010.3
1486,1973-11-26,Autumn,8.1,5.6,12.2,11.4,9.7,1005.6
1487,1973-11-27,Autumn,7.8,2.8,10.6,5.3,10.3,1007.3
1488,1973-11-28,Autumn,2.7,-1.1,8.3,0.0,17.4,1019.1
1489,1973-11-29,Autumn,6.2,-2.2,16.7,0.0,9.3,1023.4
